Alter;Groesse;Geschlecht;AlterV;AlterM;AnzSchuhe;NoteMathe;MatheZufr
 25;174;Mann; 62; 57;4;1,3;geht so
 19;165;Frau; 42; 48;15;NA;NA
 23;180;Mann; 43; 40;4;NA;NA
 21;159;Frau; 55; 50;15;NA;NA
 31;178;Mann; 61; 58;6;4,0;unzufrieden
 25;182;Mann; 52; 50;15;NA;NA
 24;176;Frau; 48; 43;45;3,0;unzufrieden
 20;160;Frau; 55; 55;30;2,7;geht so
 29;154;w; 51; 47;20;NA;NA
 18;158;Frau; 48; 46;6;5,0;unzufrieden
 18;173;Frau; 49; 50;45;3,0;geht so
 19;175;Mann; 53; 49;7;1,3;sehr zufrieden
 20;182;Mann; 48; 47;5;NA;NA
 24;191;Mann; 48; 50;12;3,7;unzufrieden
 20;170;frau; 50; 49;19;1,7;zufrieden
 20;158;Frau; 53; 50;20;5,0;unzufrieden
 21;186;Mann; 52; 51;12;NA;NA
 22;168;Frau; 53; 51;20;3,7;geht so
 32;160;Frau; 59; 56;25;5,0;unzufrieden
 20;172;Frau; 53; 48;35;5,0;unzufrieden
 19;160;Frau; 48; 48;30;4,0;geht so
 25;183;Mann; 59; 56;30;5,0;unzufrieden
 20;170;Frau; 51; 52;20;2,3;zufrieden
 26;189;Mann; 52; 49;12;3,3;zufrieden
 23;178;Mann; 46; 47;11;4,0;geht so
 19;164;frau; 52; 50;25;1,0;sehr zufrieden
 26;183;Mann; 57; 56;6;1,0;sehr zufrieden
 19;167;Frau; 57; 55;15;3,0;geht so
 21;173;Frau; 45; 49;10;NA;NA
 27;185;Mann; 52; 52;20;2,0;zufrieden
 23;168;Frau; 54; 53;30;NA;NA
 21;190;mann; 49; 53;20;5,0;unzufrieden
 22;178;frau; 68; 60;20;4,0;geht so
 28;165;frau; 63; 55;40;3,7;unzufrieden
 21;184;Mann; 57; 47;8;NA;NA
 19;165;frau; 54; 50;22;4,0;geht so
 23;182;Mann; 57; 53;25;NA;NA
 20;154;frau; 64; 54;15;1,7;sehr zufrieden
 19;168;Frau; 59; 54;15;4,0;geht so
 20;178;Mann; 50; 49;6;5,0;unzufrieden
 26;176;frau; 57; 50;40;1,0;sehr zufrieden
 19;159;Frau; 47; 46;50;5,0;unzufrieden
 18;160;Frau; 49; 47;25;2,3;zufrieden
 20;167;Frau; 59; 54;40;3,0;zufrieden
 21;190;Mann; 60; 57;10;2,7;geht so
 19;183;mann; 54; 57;7;NA;NA
 22;167;Frau; 47; 46;40;4,0;geht so
 19;167;frau; 59; 56;25;1,7;geht so
 23;185;Mann; 53; 51;7;NA;NA
 19;167;w; 57; 56;20;1,3;sehr zufrieden
 24;176;mann; 55; 55;6;2,3;sehr zufrieden
 20;171;frau; 51; 49;5;5,0;unzufrieden
 21;177;Mann; 58; 58;5;3,7;unzufrieden
 19;164;Frau; 50; 50;10;5,0;unzufrieden
 30;164;frau; 56; 53;40;3,7;unzufrieden
 23;178;Mann; 65; 62;16;NA;NA
 20;170;Frau; 53; 51;15;3,3;unzufrieden
 19;180;mann; 56; 50;10;2,7;unzufrieden
 18;173;w; 48; 47;12;1,0;sehr zufrieden
 19;176;Mann; 57; 54;5;NA;NA
 19;176;frau; 49; 47;28;4,0;geht so
 21;172;frau; 54; 47;25;3,0;sehr zufrieden
 18;172;Frau; 49; 50;30;2,0;sehr zufrieden
 21;173;Frau; 55; 47;26;NA;NA
 22;172;Frau; 60; 58;25;1,7;sehr zufrieden
 19;166;Frau; 50; 47;15;3,7;zufrieden
 22;187;mann; 62; 55;7;2,0;zufrieden
 28;190;Mann; 55; 48;10;5,0;unzufrieden
 23;165;w; 55; 50;46;NA;NA
 23;164;w; 50; 50;6;4,0;geht so
 24;180;w; 58; 52;35;5,0;unzufrieden
 19;180;Frau; 51; 49;50;2,7;unzufrieden
 21;178;Frau; 54; 50;35;5,0;unzufrieden
 21;169;w; 52; 49;20;3,0;zufrieden
 22;157;Frau; 48; 41;30;5,0;unzufrieden
 36;176;Frau; 59; 59;20;5,0;unzufrieden
 22;185;Mann; 52; 51;8;NA;NA
 29;170;Frau; 55; 51;15;NA;NA
 19;176;Mann; 60; 52;20;4,0;unzufrieden
 19;176;Frau; 51; 47;25;4,0;unzufrieden
 21;176;m; 53; 52;8;3,3;geht so
 23;169;Frau; 56; 56;43;NA;NA
 22;163;frau; 50; 50;18;1,7;sehr zufrieden
 23;188;mann;522; 49;15;3,3;zufrieden
 23;185;Mann; 56; 55;5;NA;NA
 20;165;Frau; 57; 58;25;3,3;unzufrieden
 23;181;mann; 52; 48;75;NA;NA
 19;168;Frau; 51; 49;7;3,0;geht so
 28;171;mann; 59; 54;5;2,0;zufrieden
 20;162;Frau; 42; 44;15;3,7;geht so
 21;168;w; 46; 47;10;NA;NA
 21;172;frau; 49; 41;8;NA;NA
 22;160;Frau; 48; 46;20;5,0;unzufrieden
 19;162;frau; 49; 50;20;2,7;zufrieden
 19;169;Frau; 49; 46;50;NA;NA
 23;178;Mann; 52; 50;5;NA;NA
 28;175;Mann; 61; 56;12;NA;NA
 24;195;mann; 58; 56;15;3,7;zufrieden
 20;170;Frau; 49; 53;20;NA;unzufrieden
119;179;Mann; 51; 46;3;1,7;sehr zufrieden
 20;160;frau; 57; 56;30;2,7;geht so
 21;177;Frau; 59; 54;10;4,0;unzufrieden
 23;182;mann; 56; 52;4;5,0;unzufrieden
 23;188;Mann; 53; 52;4;4,0;geht so
 18;178;Mann; 51; 48;7;2,0;sehr zufrieden
 24;178;mann; 57; 54;5;2,3;geht so
 22;188;Mann; 49; 54;9;5,0;unzufrieden
 23;184;Mann; 63; 56;17;3,7;geht so
 24;165;Frau; 56; 51;275;4,0;unzufrieden
 19;180;Mann; 49; 46;6;1,0;sehr zufrieden
 22;170;frau; 48; 46;20;NA;NA
 24;163;Frau; 64; 60;70;NA;NA
 18;164;Frau; 57; 49;22;3,3;geht so
 19;192;Mann; 53; 52;9;3,7;unzufrieden
 19;160;Frau; 48; 47;20;3,7;unzufrieden
 20;169;Frau; 50; 46;30;3,3;geht so
 21;172;Frau; 58; 56;25;1,7;sehr zufrieden
 20;164;Frau; 58; 54;10;1,3;sehr zufrieden
 20;188;m; 57; 50;3;1,7;zufrieden
 21;176;Mann; 49; 48;8;NA;NA
 24;164;frau; 49; 53;38;3,0;geht so
 29;164;Frau; 55; 52;50;3,7;zufrieden
 19;164;Frau; 56; 55;35;3,3;geht so
 20;189;Mann; 49; 45;5;5,0;unzufrieden
 24;170;mann; 57; 55;15;NA;NA
211;175;Mann; 56; 61;4;NA;NA
 18;172;frau; 57; 53;8;2,0;sehr zufrieden
 23;162;Frau; 56; 53;18;3,3;geht so
 26;169;Frau; 61; 57;30;5,0;unzufrieden
 30;179;Mann; 54; 52;7;5,0;unzufrieden
 24;160;w; 59; 50;60;5,0;unzufrieden
 28;163;frau; 46; 44;86;3,0;sehr zufrieden
 19;179;Mann; 48; 48;5;1,7;sehr zufrieden
 24;165;Frau; 60; 58;20;NA;unzufrieden
 26;167;w; 53; 50;30;2,7;zufrieden
 28;183;m; 53; 51;14;NA;NA
 22;160;Frau; 51; 49;40;5,0;unzufrieden
 21;169;Frau; 55; 54;9;3,0;unzufrieden
 22;166;Frau; 50; 48;13;2,3;geht so
 22;187;m; 62; 55;7;NA;NA
 26;172;mann; 49; 45;5;NA;NA
 24;180;Mann; 52; 50;2;5,0;sehr zufrieden
 22;162;Frau; 54; 47;50;2,3;zufrieden
 20;186;Mann; 50; 48;6;5,0;unzufrieden
 19;181;m; 52; 48;8;3,0;unzufrieden
 21;183;Mann; 51; 48;8;2,0;sehr zufrieden
 25;182;Mann; 80; 70;5;1,7;zufrieden
 35;173;m; 75; 70;25;2,3;zufrieden
 20;163;Frau; 56; 54;20;3,0;geht so
 18;188;Mann; 44; 52;12;1,0;sehr zufrieden
 21;185;m; 50; 48;25;2,7;zufrieden
 25;180;mann; 55; 52;10;NA;NA
 21;165;Mann; 60; 53;4;NA;NA
 20;170;Frau; 58; 56;30;4,0;unzufrieden
 22;177;Mann; 50; 44;20;4,0;geht so
 22;170;Frau; 45; 44;30;3,0;geht so
 19;181;Frau; 58; 55;70;4,0;sehr zufrieden
 21;160;Frau; 44; 42;40;3,3;geht so
 20;155;Frau; 45; 45;22;5,0;unzufrieden
 21;174;Mann; 58; 50;4;3,7;unzufrieden
 19;172;Frau; 53; 51;10;2,7;geht so
 20;175;Frau; 48; 47;12;1,7;sehr zufrieden
 24;151;w; 54; 58;50;2,3;sehr zufrieden
 21;167;Frau; 55; 59;30;4,0;unzufrieden
 19;165;Frau; 49; 49;29;1,7;geht so
 20;194;Mann; 44; 43;15;5,0;unzufrieden
 26;176;Frau; 55; 52;19;4,0;unzufrieden
 21;168;frau; 55; 65;40;3,7;geht so
 19;160;Frau; 50; 43;15;1,0;sehr zufrieden
 21;168;w; 49; 46;50;2,7;geht so
 21;163;Frau; 75; 50;30;3,0;geht so
 21;156;Frau; 57; 54;40;3,3;sehr zufrieden
 24;176;Mann; 49; 49;11;NA;NA
 21;158;Frau; 51; 50;20;NA;NA
 23;186;Mann; 53; 51;9;3,0;unzufrieden
 23;167;frau; 55; 58;22;3,7;zufrieden
 20; 21;mann; 50; 46;7;2,3;geht so
 28;160;Frau; 58; 56;40;NA;NA
NA;180;Mann; 57; 56;12;NA;NA
 29;156;Frau; 65; 61;50;NA;NA
 22;185;mann; 54; 50;10;1,3;sehr zufrieden
 20;180;Frau; 54; 46;25;4,0;zufrieden
 19;198;m; 59; 48;6;2,7;geht so
 21;179;Mann; 55; 52;3;NA;NA
 21;178;Frau; 44; 44;30;2,7;zufrieden
 21;168;frau; 54; 50;30;3,7;geht so
 18;173;Frau; 48; 48;40;3,0;zufrieden
 26;172;Mann; 57; 56;10;4,0;geht so
 20;178;Frau; 55; 45;22;NA;NA
 23;180;Mann; 56; 55;5;NA;NA
 23;170;Frau; 49; 48;25;2,7;geht so
 21;173;Mann; 70; 45;12;3,7;geht so
 20;180;Frau; 62; 52;15;5,0;unzufrieden
 18;175;Frau; 50; 45;16;4,0;zufrieden
 20;172;w; 53; 48;25;3,7;unzufrieden
 18;159;frau; 58; 51;50;1,7;sehr zufrieden
 25;171;Frau; 63; 61;5;2,0;zufrieden
 20;161;Frau; 51; 49;20;1,3;zufrieden
 20;157;frau; 50; 48;7;5,0;unzufrieden
 19;169;Frau; 60; 55;7;5,0;unzufrieden
 20;176;Mann; 52; 49;10;3,3;unzufrieden
 20;163;frau; 49; 51;20;NA;NA
 19;173;Frau; 50; 54;15;3,0;geht so
 23;184;Frau; 59; 56;30;5,0;unzufrieden
 24;172;frau; 55; 52;40;2,0;sehr zufrieden
 24;190;Mann; 55; 52;8;NA;NA
 23;169;Frau; 62; 60;26;NA;NA
 21;161;Frau; 70; 55;22;3,3;geht so
 21;163;w; 67; 53;13;3,7;geht so
 21;170;frau; 51; 49;30;3,7;geht so
 19;165;Frau; 51; 51;18;1,0;sehr zufrieden
 26;170;w; 59; 60;10;3,0;unzufrieden
 20;175;Frau; 57; 56;8;3,0;unzufrieden
 24;171;Frau; 54; 53;30;4,0;geht so
 20;169;w; 45; 44;11;3,3;zufrieden
 23;159;Frau; 59; 56;55;5,0;unzufrieden
 20;185;Mann; 48; 48;8;3,7;unzufrieden
 21;167;Frau; 45; 42;45;NA;NA
 19;172;Frau; 49; 58;15;2,3;sehr zufrieden
 19;168;Frau; 50; 50;20;2,7;unzufrieden
 21;170;frau; 42; 42;25;3,7;unzufrieden
 20;165;Frau; 43; 43;15;NA;NA
 28;195;Mann; 54; 52;1;3,0;geht so
 23;169;Frau; 52; 53;30;NA;NA
 20;165;Frau; 54; 52;40;NA;NA
 21;174;Frau; 49; 41;15;NA;unzufrieden
 29;168;Frau; 62; 46;10;NA;NA
 20;173;frau; 56; 48;30;4,0;unzufrieden
 24;167;Frau; 54; 52;40;4,0;geht so
 21;179;Mann; 53; 51;9;NA;NA
 21;175;w; 43; 39;27;4,0;unzufrieden
 22;175;Mann; 60; 56;25;3,7;geht so
 27;184;m; 53; 52;7;1,0;sehr zufrieden
 26;171;Frau; 55; 53;20;NA;NA
 25;176;Mann; 67; 63;14;3,0;zufrieden
 19;170;Frau; 55; 50;15;2,3;geht so
 30;183;Mann; 57; 55;10;3,3;sehr zufrieden
 25;176;mann; 68; 57;6;NA;sehr zufrieden
 19;178;Mann; 51; 50;10;3,3;zufrieden
 20;178;Mann; 50; 48;7;NA;NA
 25;166;Mann; 55; 50;3;NA;NA
 20;173;Frau; 57; 50;20;2,0;sehr zufrieden
 21;183;Mann; 51; 50;16;2,7;zufrieden
 20;163;Frau; 43; 45;15;2,7;geht so
 27;156;Frau; 63; 59;29;5,0;unzufrieden
 21;193;Mann; 51; 52;3;3,0;zufrieden
 21;180;Mann; 48; 47;4;3,7;zufrieden
 20;161;frau; 50; 50;20;2,3;zufrieden
 19;170;w; 55; 56;10;4,0;zufrieden
 20;175;frau; 46; 47;20;1,3;sehr zufrieden
 22;172;frau; 57; 48;55;1,0;sehr zufrieden
 25;182;Mann; 59; 54;5;2,7;unzufrieden
 25;151;w; 55; 59;90;2,3;sehr zufrieden
 23;181;Frau; 51; 63;35;NA;NA
 21;179;Mann; 55; 54;9;2,7;geht so
 21;182;mann; 52; 53;7;1,3;sehr zufrieden
 20;165;frau; 51; 46;14;NA;NA
 25;170;frau; 50; 46;50;3,3;geht so
 22;178;Mann;551; 48;8;2,0;sehr zufrieden
 19;167;Frau; 48; 46;16;3,7;unzufrieden
 20;172;Frau; 46; 44;9;3,0;sehr zufrieden
 24;184;m; 49; 46;4;3,0;geht so
 37;185;Frau; 63; 59;8;3,3;zufrieden
 20;192;m; 46; 41;4;5,0;unzufrieden
 20;176;frau; 52; 51;20;1,3;zufrieden
 23;191;mann; 57; 54;24;4,0;zufrieden
 20;172;Frau; 58; 50;50;4,0;unzufrieden
 27;172;m; 59; 53;8;NA;NA
 25;160;Frau; 52; 50;40;4,0;unzufrieden
 21;191;Mann; 58; 54;10;5,0;unzufrieden
 21;170;Frau; 55; 54;50;5,0;unzufrieden
 21;168;Frau; 48; 45;82;NA;NA
 19;160;Frau; 50; 49;19;3,3;zufrieden
 21;169;Frau; 47; 48;30;4,0;unzufrieden
 21;167;w; 56; 55;30;3,3;unzufrieden
 24;175;Mann; 65; 62;22;2,3;zufrieden
 26;183;Frau; 61; 59;15;NA;NA
 20;180;mann; 49; 48;15;2,7;unzufrieden
 21;160;Frau; 51; 51;40;2,7;zufrieden
 20;165;Frau; 54; 53;50;4,0;zufrieden
 19;178;Mann; 52; 50;5;3,3;sehr zufrieden
 18;167;Frau; 52; 48;15;2,7;geht so
 20;176;Mann; 56; 54;11;3,3;zufrieden
 25;186;m; 62; 58;14;NA;NA
 19;190;Mann; 54; 53;20;3,0;geht so
 19;175;Frau; 52; 52;30;2,7;geht so
 24;180;m; 58; 57;8;5,0;unzufrieden
 21;164;Frau; 47; 50;10;NA;NA
 22;167;Frau; 45; 43;50;NA;NA
 20;173;Frau; 51; 51;12;5,0;unzufrieden
 20;167;Frau; 50; 43;35;2,0;sehr zufrieden
 22;181;Mann; 60; 50;11;5,0;unzufrieden
 19;176;Frau; 54; 49;17;1,0;sehr zufrieden
 20;164;Frau; 62; 58;15;1,0;sehr zufrieden
 19;172;Frau; 54; 48;25;4,0;unzufrieden
 20;172;Frau; 49; 48;20;3,3;unzufrieden
 22;173;Mann; 54; 52;7;2,0;zufrieden
 32;177;Frau; 63; 59;27;NA;NA
 21;178;Mann; 55; 55;7;2,7;zufrieden
 19;173;Frau; 49; 50;17;3,0;zufrieden
 20;167;Frau; 69; 56;8;NA;NA
 19;171;Frau; 54; 52;15;2,0;zufrieden
 24;188;m; 71; 59;8;NA;NA
 23;163;w; 54; 46;40;5,0;unzufrieden
 26;176;Mann; 70; 59;8;NA;NA
 20;164;frau; 55; 50;25;3,0;unzufrieden
 22;184;Mann; 56; 58;7;1,0;sehr zufrieden
 25;158;frau; 49; 50;20;NA;NA
 19;160;Frau; 48; 48;20;2,0;zufrieden
 18;174;frau; 56; 50;20;3,0;geht so
 19;165;frau; 65; 51;40;4,0;geht so
 20;164;Frau; 61; 54;25;3,3;geht so
 24;174;Mann; 53; 52;7;NA;NA
 19;173;Frau; 52; 50;15;3,7;unzufrieden
 19;186;Mann; 53; 52;7;3,3;geht so
 20;180;Mann; 51; 50;8;NA;NA
 21;175;frau; 50; 49;30;3,0;sehr zufrieden
 22;176;Frau; 51; 48;16;NA;NA
 20;165;Frau; 50; 48;40;3,6;geht so
 18;166;Frau; 51; 49;28;2,0;sehr zufrieden
 19;168;Frau; 55; 50;23;5,0;unzufrieden
 20;168;Frau; 52; 49;20;3,3;zufrieden
 21;168;frau; 68; 64;30;2,0;zufrieden
 21;170;w; 50; 49;30;2,0;sehr zufrieden
 28;163;Frau; 57; 56;20;5,0;unzufrieden
 20;170;Frau; 53; 50;20;2,3;sehr zufrieden
 22;173;w; 48; 45;15;4,0;zufrieden
 20;174;Mann; 76; 63;3;5,0;unzufrieden
 22;178;mann; 60; 58;10;5,0;unzufrieden
 22;180;Mann; 60; 50;12;2,7;zufrieden
 19;183;Mann; 54; 53;4;NA;NA
 19;192;Mann; 51; 52;3;NA;NA
 20;167;frau; 49; 47;30;4,0;zufrieden
 20;162;frau; 48; 48;25;2,3;unzufrieden
 22;182;Mann; 55; 52;2;NA;sehr zufrieden
 18;163;Frau; 46; 48;23;5,0;unzufrieden
 24;157;frau; 51; 50;30;5,0;unzufrieden
 19;162;Frau; 43; 40;30;4,0;unzufrieden
 25;185;Mann; 55; 53;12;5,0;unzufrieden
 20;165;Frau; 55; 45;30;3,0;unzufrieden
 19;176;Mann; 49; 46;6;2,0;sehr zufrieden
 20;175;Mann; 45; 41;7;NA;unzufrieden
 19;175;Frau; 58; 51;22;3,0;zufrieden
 27;168;frau; 50; 47;55;NA;NA
 20;185;m; 54; 49;12;2,7;geht so
 20;177;Mann; 56; 51;4;4,0;zufrieden
 20;172;w; 49; 51;10;1,3;sehr zufrieden
 23;167;Frau; 57; 53;30;NA;NA
 21;173;frau; 54; 51;17;5,0;unzufrieden
 23;158;Frau; 65; 57;8;3,0;unzufrieden
 20;180;Mann; 50; 49;4;1,0;sehr zufrieden
 26;187;mann; 64; 62;10;NA;NA
 18;162;Frau; 48; 46;30;5,0;unzufrieden
 23;188;mann; 45; 44;11;1,7;sehr zufrieden
 20;175;Mann; 58; 61;8;5,0;unzufrieden
 19;157;frau; 52; 49;10;4,0;zufrieden
 22;172;Mann; 60; 56;8;3,7;geht so
 20;189;Mann; 60; 60;6;NA;NA
 19;170;Frau; 47; 49;20;4,0;unzufrieden
 19;178;w; 50; 45;40;5,0;unzufrieden
 22;173;Mann; 65; 63;10;3,3;geht so
 22;181;Mann; 55; 50;4;3,0;geht so
 29;160;frau; 59; 57;20;1,7;zufrieden
 20;191;Mann; 55; 55;7;5,0;unzufrieden
 21;186;Mann; 48; 48;5;NA;NA
 19;160;frau; 48; 47;20;1,3;sehr zufrieden
 25;176;frau; 55; 49;33;1,0;sehr zufrieden
 19;170;Frau; 55; 51;15;2,0;zufrieden
 21;164;Frau; 57; 51;35;2,0;sehr zufrieden
 27;165;Frau; 62; 54;7;NA;geht so
 20;166;w; 60; 60;30;NA;unzufrieden
 22;180;m; 52; 53;5;5,0;unzufrieden
 23;180;Frau; 59; 53;17;5,0;geht so
 21;185;Mann; 52; 50;6;2,0;geht so
 20;174;w; 57; 54;7;NA;NA
 21;163;Frau; 50; 50;12;1,0;sehr zufrieden
 19;163;Frau; 58; 55;15;3,7;geht so
 19;168;frau; 52; 50;50;3,7;unzufrieden
 21;182;m; 51; 50;12;4,0;geht so
 23;174;Frau; 50; 51;80;4,0;unzufrieden
 18;175;Frau; 54; 51;25;NA;NA
 21;184;mann; 44; 41;3;NA;NA
 20;169;Frau; 58; 59;30;5,0;unzufrieden
 23;179;Mann; 51; 47;5;2,3;zufrieden
 20;154;w; 64; 54;15;1,7;sehr zufrieden
 18;182;mann; 44; 40;12;3,0;geht so
 22;171;Frau; 63; 59;10;5,0;unzufrieden
 24;180;Mann; 49; 48;10;3,3;unzufrieden
 24;170;Frau; 50; 52;6;2,0;sehr zufrieden
 22;173;Frau; 65; 63;20;5,0;unzufrieden
 21;182;m; 55; 50;9;3,3;geht so
 22;168;Frau; 50; 50;10;NA;NA
 22;164;Frau; 54; 51;27;3,3;zufrieden
 20;176;Mann; 59; 49;9;2,0;sehr zufrieden
 30;183;mann; 60; 61;4;5,0;unzufrieden
 19;179;mann; 60; 43;12;5,0;unzufrieden
 19;165;Frau; 48; 47;22;4,0;geht so
 20;175;Mann; 54; 57;12;3,7;geht so
 27;170;mann; 54; 52;10;1,0;sehr zufrieden
 23;182;Frau; 66; 59;30;5,0;unzufrieden
 30;171;Mann; 66; 64;20;NA;NA
 19;192;Mann; 54; 51;4;NA;NA
 20;177;mann; 49; 46;7;NA;NA
 18;182;Mann; 54; 52;9;NA;NA
 31;180;Mann; 66; 58;7;NA;NA
 20;165;w; 47; 48;13;5,0;geht so
 24;167;Frau; 67; 56;7;NA;NA
 20;186;Mann;NA; 44;15;NA;NA
 21;158;Frau; 53; 49;10;2,0;zufrieden
 27;175;Frau; 53; 55;25;NA;NA
 18;160;Frau; 55; 50;50;NA;NA
 21;175;Mann; 54; 50;6;5,0;unzufrieden
 28;180;Mann; 62; 41;5;2,3;zufrieden
 21;164;Frau; 58; 51;30;3,5;geht so
 19;182;mann; 52; 50;3;1,3;sehr zufrieden
 18;165;Frau; 55; 54;35;1,3;sehr zufrieden
 21;150;Frau; 50; 46;20;2,7;geht so
 21;178;Frau; 55; 54;15;1,7;sehr zufrieden
